"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Engine","1","0","Full Integration Flow","0"
"0","","0","API","1","0","JOYTISHAPI","0"
"0","","0","RAG Infrastructure","1","0","Initialization","0"
"0","","0","RAG Infrastructure","1","0","Retriever Logic","0"
"0","","0","Engine","3","0","Error Handling","0"
"0","","0","","1","0","","0"
"0","Astrological AI","0","RAG System Quality","0","1","Accuracy and Retrieval Audit","0"
"0","","0","Security Audit ","5","0","Red Teaming & Prompt Injection","0"
"0","","0","RAG Integration","1","0","Semantic Search","0"
"0","","0","API","1","0","Production End-to-End Flow","0"
"0","","0","API","1","0","Production external endpoit","0"
"0","","1","Chain-of-Thought (CoT) Verification","0","0","","0"
"0","","0","API","1","0","JOYTISHAI","0"
"0","","0","RAG Infrastructure","3","0","Ingestion Logic","0"
"0","","0","Engine","1","0","Edge Cases","0"
"0","","0","Engine","1","0","Checking SERVER 422 error","0"
